使用计算设备 (Using Device): mps
初始化模型参数总数 (Model Parameters): 69,004
开始时空自动化研究实验流水线 (Commencing Spatio-Temporal Experiment Pipeline)...
Epoch 25 | Step 3850 | Loss: 0.1470 | Time Used: 357.8s / 900s
Epoch 25 | Step 3900 | Loss: 0.1543 | Time Used: 362.6s / 900s
Epoch 25 | Step 3950 | Loss: 0.1434 | Time Used: 367.4s / 900s
Epoch 26 | Step 4000 | Loss: 0.1513 | Time Used: 372.2s / 900s
Epoch 26 | Step 4050 | Loss: 0.1496 | Time Used: 376.9s / 900s
Epoch 26 | Step 4100 | Loss: 0.1553 | Time Used: 381.7s / 900s
Epoch 27 | Step 4150 | Loss: 0.1498 | Time Used: 386.5s / 900s
Epoch 27 | Step 4200 | Loss: 0.1502 | Time Used: 391.2s / 900s
Epoch 27 | Step 4250 | Loss: 0.1474 | Time Used: 396.0s / 900s
Epoch 28 | Step 4300 | Loss: 0.1496 | Time Used: 400.7s / 900s
Epoch 28 | Step 4350 | Loss: 0.1390 | Time Used: 405.4s / 900s
Epoch 28 | Step 4400 | Loss: 0.1569 | Time Used: 410.2s / 900s
Epoch 28 | Step 4450 | Loss: 0.1443 | Time Used: 414.9s / 900s
Epoch 29 | Step 4500 | Loss: 0.1588 | Time Used: 419.6s / 900s
Epoch 29 | Step 4550 | Loss: 0.1523 | Time Used: 424.3s / 900s
Epoch 29 | Step 4600 | Loss: 0.1492 | Time Used: 429.0s / 900s
Epoch 30 | Step 4650 | Loss: 0.1434 | Time Used: 433.7s / 900s
Epoch 30 | Step 4700 | Loss: 0.1407 | Time Used: 438.6s / 900s
Epoch 30 | Step 4750 | Loss: 0.1494 | Time Used: 443.3s / 900s
Epoch 31 | Step 4800 | Loss: 0.1409 | Time Used: 448.0s / 900s
Epoch 31 | Step 4850 | Loss: 0.1494 | Time Used: 452.6s / 900s
Epoch 31 | Step 4900 | Loss: 0.1492 | Time Used: 457.4s / 900s
Epoch 32 | Step 4950 | Loss: 0.1537 | Time Used: 462.1s / 900s
Epoch 32 | Step 5000 | Loss: 0.1425 | Time Used: 466.7s / 900s
Epoch 32 | Step 5050 | Loss: 0.1503 | Time Used: 471.5s / 900s
Epoch 33 | Step 5100 | Loss: 0.1520 | Time Used: 476.1s / 900s
Epoch 33 | Step 5150 | Loss: 0.1473 | Time Used: 480.8s / 900s
Epoch 33 | Step 5200 | Loss: 0.1454 | Time Used: 485.5s / 900s
Epoch 34 | Step 5250 | Loss: 0.1598 | Time Used: 490.2s / 900s
Epoch 34 | Step 5300 | Loss: 0.1383 | Time Used: 494.9s / 900s
Epoch 34 | Step 5350 | Loss: 0.1571 | Time Used: 499.6s / 900s
Epoch 34 | Step 5400 | Loss: 0.1484 | Time Used: 504.3s / 900s
Epoch 35 | Step 5450 | Loss: 0.1394 | Time Used: 509.0s / 900s
Epoch 35 | Step 5500 | Loss: 0.1386 | Time Used: 513.8s / 900s
Epoch 35 | Step 5550 | Loss: 0.1510 | Time Used: 518.5s / 900s
Epoch 36 | Step 5600 | Loss: 0.1428 | Time Used: 523.1s / 900s
